algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_observed,0.09513606835062935,0.01587818718543614,0.036066896114417074,0.005312792205813716,10.0
itemknn,cm100k_observed,0.06774208052607156,0.012286836509187993,0.026224314728061797,0.004061548830883612,10.0
listrankmf,cm100k_observed,0.06869763800364924,0.012122948704189082,0.019757299359785672,0.003146855469953186,10.0
randomguess,cm100k_observed,0.010130531963203284,0.0021199261998926027,0.007670165905027698,0.0014321257062578933,10.0
slim,cm100k_observed,0.03165503134438576,0.006255068811276759,0.01473178909598486,0.0024323564951440175,10.0
svdpp,cm100k_observed,0.03691265932171064,0.006992120820477186,0.010300479484046464,0.0018085485548875898,10.0
ranksgd,cm100k_observed,0.04768178789988115,0.008361004484143774,0.018065507332367198,0.002865888756232486,10.0
userknn,cm100k_observed,0.0591333670016812,0.010767981595057301,0.022034116518017142,0.003491636702241445,10.0
smootheditemaverage,cm100k_observed,0.0109047330786244,0.0022941199177715704,0.003063613878643233,0.0005946974861467699,10.0
optimalobservedprecision,cm100k_observed,0.09259669924616606,0.015609554623453337,0.033645552471684645,0.0049460289526533805,10.0
optimalobservedantiprecision,cm100k_observed,0.0028001926195469285,0.0009556587172877785,0.0018868643685914573,0.00038698051683677345,10.0
optimaltrueprecision,cm100k_observed,0.10645569715099587,0.018128185427099118,0.03352812579392851,0.004912898926062724,10.0
optimaltrueantiprecision,cm100k_observed,0.007062025655037743,0.0017540680474871888,0.0,0.0,10.0
optimaltrueprecisionrestricted,cm100k_observed,0.013717734368999701,0.0035645593391591957,0.0,0.0,10.0
optimaltrueantiprecisionrestricted,cm100k_observed,0.007062025655037743,0.0017540680474871888,0.0,0.0,10.0
pnmf,cm100k_observed,0.055980047331486336,0.009769506707278278,0.02852841642497339,0.004364082035953168,10.0
eals,cm100k_observed,0.012608464793758581,0.0031321281431784392,0.008397951126884955,0.0015769074606105612,10.0
gbpr,cm100k_observed,0.05696646630780579,0.009354512499822555,0.032898644540070535,0.005134314722951852,10.0
plsa,cm100k_observed,0.04374675818653162,0.008580171300698717,0.023837070279597704,0.003474709302363577,10.0
bpoissmf,cm100k_observed,0.0075679169688413275,0.001864311554698633,0.006998071276130407,0.0010410479676942201,10.0
wrmf,cm100k_observed,0.053394811443315614,0.009466254225711686,0.026363432673911457,0.004016772223106847,10.0
wbpr,cm100k_observed,0.04343542047273782,0.008026167753637662,0.026117183259066895,0.004358268287598666,10.0
