algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_observed,0.08592847509741243,0.014850136239782017,0.04087193460490463,0.005722070844686649,10
itemknn,cm100k_observed,0.06016883510071521,0.011444141689373298,0.02660460187708144,0.004087193460490463,10
listrankmf,cm100k_observed,0.05767980505718924,0.010899182561307902,0.01977909692487349,0.003269754768392371,10
randomguess,cm100k_observed,0.00948164006747113,0.0020435967302452314,0.01201180744777475,0.0019073569482288828,10
slim,cm100k_observed,0.027126313740755158,0.005858310626702998,0.010603996366939147,0.0021798365122615805,10
svdpp,cm100k_observed,0.026589021786569467,0.005177111716621254,0.006938497469832619,0.0016348773841961856,10
ranksgd,cm100k_observed,0.03297327105229012,0.006130790190735695,0.011411703646036072,0.0021798365122615805,10
userknn,cm100k_observed,0.046245886266322235,0.009400544959128065,0.017730093854072055,0.0031335149863760217,10
smootheditemaverage,cm100k_observed,0.01298716043266452,0.0025885558583106268,0.002157129881925522,0.0004087193460490464,10
optimalobservedprecision,cm100k_observed,0.08899387019278028,0.015258855585831064,0.03553587647593097,0.004904632152588556,10
optimalobservedantiprecision,cm100k_observed,0.001247832548922467,0.0005449591280653951,0.0005108991825613079,0.00027247956403269756,10
optimaltrueprecision,cm100k_observed,0.09419747297812693,0.017166212534059946,0.046435059037238866,0.006267029972752043,10
optimaltrueantiprecision,cm100k_observed,0.004551647262818924,0.0014986376021798367,0.0,0.0,10
optimaltrueprecisionrestricted,cm100k_observed,0.016187222556432367,0.004632152588555858,0.0,0.0,10
optimaltrueantiprecisionrestricted,cm100k_observed,0.004551647262818924,0.0014986376021798367,0.0,0.0,10
pnmf,cm100k_observed,0.06080286652493737,0.011307901907356949,0.022479564032697547,0.0035422343324250684,10
eals,cm100k_observed,0.013498551100730938,0.0035422343324250684,0.005324704813805631,0.0013623978201634877,10
gbpr,cm100k_observed,0.049283709024853434,0.008446866485013626,0.02925911509017776,0.004223433242506812,10
plsa,cm100k_observed,0.05035519657454263,0.009264305177111718,0.02252497729336966,0.0034059945504087193,10
bpoissmf,cm100k_observed,0.0067541904054165625,0.0023160762942779295,0.013510445049954587,0.0020435967302452314,10
wrmf,cm100k_observed,0.05913833744215215,0.010490463215258856,0.02443395614376541,0.004359673024523161,10
wbpr,cm100k_observed,0.02882985165001514,0.005722070844686649,0.023766273085074174,0.0034059945504087193,10
