algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_observed_synthetic,0.004048024047221153,0.0006024661632940667,0.07631062035337854,0.01609609448456837,10.0
itemknn,cm100k_observed_synthetic,0.0037169842029684264,0.0005141648914284041,0.02083361984006681,0.004418185309518237,10.0
listrankmf,cm100k_observed_synthetic,0.003174466596337109,0.00043056814448815835,0.011910877906542768,0.002539878631254025,10.0
randomguess,cm100k_observed_synthetic,0.0019493447261914733,0.0002788822518023621,0.008464032983201886,0.0017849425496135594,10.0
slim,cm100k_observed_synthetic,0.005211932340912178,0.0007314011633156966,0.08057783518636456,0.01666108207920549,10.0
svdpp,cm100k_observed_synthetic,0.0028524464139300567,0.00034223005138759097,0.005670514391883309,0.0011822933081805636,10.0
ranksgd,cm100k_observed_synthetic,0.0032993991815250304,0.0004922949796048813,0.012415111106900049,0.0025774998771757483,10.0
userknn,cm100k_observed_synthetic,0.004366981969745688,0.0006462791221947677,0.0526552191581353,0.011275671465880007,10.0
smootheditemaverage,cm100k_observed_synthetic,0.0007400917360573419,8.449135389923524e-05,0.0011454405778382414,0.00029924180212504385,10.0
optimalobservedprecision,cm100k_observed_synthetic,0.002395353478172169,0.0003427125639372237,0.037018631938990396,0.00813427771849162,10.0
optimalobservedantiprecision,cm100k_observed_synthetic,0.0016250774484475761,0.000214139835781527,0.002192095821938577,0.00047249686566216254,10.0
optimaltrueprecision,cm100k_observed_synthetic,0.023056973203494518,0.0031136053418212893,0.027226149663575932,0.006013184170470792,10.0
optimaltrueantiprecision,cm100k_observed_synthetic,0.003223970148943349,0.0004065558773806044,0.0,0.0,10.0
optimaltrueprecisionrestricted,cm100k_observed_synthetic,0.009780233324574939,0.001289418538389799,0.0,0.0,10.0
optimaltrueantiprecisionrestricted,cm100k_observed_synthetic,0.003223970148943349,0.0004065558773806044,0.0,0.0,10.0
pnmf,cm100k_observed_synthetic,0.004417211919256218,0.0006242578113696507,0.0488195852643351,0.010566821940327351,10.0
eals,cm100k_observed_synthetic,0.0026128877955875615,0.0003215108070494043,0.00906063931759489,0.001948101730535325,10.0
gbpr,cm100k_observed_synthetic,0.006343537101169874,0.0008358690744151636,0.03436852879884696,0.007323711864395186,10.0
plsa,cm100k_observed_synthetic,0.004061994596898259,0.0004920310598675856,0.03740180818736818,0.00826604852792907,10.0
bpoissmf,cm100k_observed_synthetic,0.004056405499357046,0.0004930155349344366,0.00900731990991686,0.001872820804461612,10.0
wrmf,cm100k_observed_synthetic,0.0022624812944274713,0.0002582244343675217,0.028032744030296642,0.0059459953001385355,10.0
wbpr,cm100k_observed_synthetic,0.006026893684095022,0.0007725543509158655,0.0529144635627975,0.011278167248642088,10.0
