algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_observed_synthetic,0.004454926624737945,0.0005241090146750524,0.08227638015373864,0.015932914046121596,10
itemknn,cm100k_observed_synthetic,0.005677847658979734,0.0008385744234800839,0.02519217330538085,0.005241090146750524,10
listrankmf,cm100k_observed_synthetic,0.002620545073375262,0.0003144654088050315,0.008997204751921731,0.0016771488469601678,10
randomguess,cm100k_observed_synthetic,0.0019217330538085255,0.0003144654088050315,0.004961565338923829,0.0011530398322851154,10
slim,cm100k_observed_synthetic,0.004454926624737945,0.0005241090146750524,0.08089622641509434,0.015828092243186584,10
svdpp,cm100k_observed_synthetic,0.003668763102725367,0.00041928721174004196,0.005363382250174703,0.0010482180293501049,10
ranksgd,cm100k_observed_synthetic,0.0041928721174004195,0.000628930817610063,0.012910552061495457,0.002515723270440252,10
userknn,cm100k_observed_synthetic,0.0019217330538085255,0.0003144654088050315,0.04894304682040532,0.010482180293501045,10
smootheditemaverage,cm100k_observed_synthetic,0.002620545073375262,0.0003144654088050315,0.0018343815513626835,0.00041928721174004196,10
optimalobservedprecision,cm100k_observed_synthetic,0.003057302585604472,0.0005241090146750524,0.03226764500349406,0.007547169811320756,10
optimalobservedantiprecision,cm100k_observed_synthetic,0.0015723270440251573,0.00020964360587002098,0.0023584905660377358,0.0005241090146750524,10
optimaltrueprecision,cm100k_observed_synthetic,0.019654088050314465,0.0028301886792452833,0.02718378756114605,0.005765199161425576,10
optimaltrueantiprecision,cm100k_observed_synthetic,0.0047169811320754715,0.0005241090146750524,0.0,0.0,10
optimaltrueprecisionrestricted,cm100k_observed_synthetic,0.007075471698113208,0.0009433962264150943,0.0,0.0,10
optimaltrueantiprecisionrestricted,cm100k_observed_synthetic,0.0047169811320754715,0.0005241090146750524,0.0,0.0,10
pnmf,cm100k_observed_synthetic,0.0017470300489168412,0.0003144654088050315,0.045684835779175405,0.009224318658280923,10
eals,cm100k_observed_synthetic,0.0047169811320754715,0.0005241090146750524,0.012526205450733753,0.002725366876310272,10
gbpr,cm100k_observed_synthetic,0.008211041229909153,0.0011530398322851154,0.031184486373165617,0.00649895178197065,10
plsa,cm100k_observed_synthetic,0.006289308176100629,0.0007337526205450734,0.03432040531097135,0.007651991614255764,10
bpoissmf,cm100k_observed_synthetic,0.006027253668763103,0.0007337526205450734,0.0037037037037037034,0.0007337526205450734,10
wrmf,cm100k_observed_synthetic,0.0015723270440251573,0.00020964360587002098,0.028293151642208247,0.005765199161425576,10
wbpr,cm100k_observed_synthetic,0.006813417190775681,0.0008385744234800839,0.06795073375262053,0.013207547169811323,10
