algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_true,0.027385202016625282,0.012523719165085389,0.00454694074824563,0.00666034155597723,10.0
itemknn,cm100k_true,0.02092193045490818,0.010569259962049337,0.004963598695022396,0.007172675521821633,10.0
listrankmf,cm100k_true,0.024104833074606195,0.011195445920303606,0.004870169725058579,0.006755218216318787,10.0
randomguess,cm100k_true,0.009526528341069438,0.005711574952561671,0.008917604777323992,0.012941176470588237,10.0
slim,cm100k_true,0.014701289640342402,0.008007590132827326,0.006951809435606573,0.009810246679316889,10.0
svdpp,cm100k_true,0.018636465096500875,0.009240986717267552,0.005944362933504692,0.008481973434535104,10.0
ranksgd,cm100k_true,0.020168942469557548,0.009620493358633778,0.005886655799075184,0.00838709677419355,10.0
userknn,cm100k_true,0.018620172389980462,0.00998102466793169,0.0054485057096560156,0.008102466793168882,10.0
smootheditemaverage,cm100k_true,0.010724966880450045,0.005901328273244783,0.008178452388950642,0.011157495256166983,10.0
optimalobservedprecision,cm100k_true,0.026847230331093958,0.012599620493358634,0.0043413559775500425,0.006242884250474383,10.0
optimalobservedantiprecision,cm100k_true,0.009319305378012881,0.005920303605313093,0.008206442334031987,0.011764705882352941,10.0
optimaltrueprecision,cm100k_true,0.03313437291092075,0.015920303605313095,0.00447112610288701,0.006508538899430739,10.0
optimaltrueantiprecision,cm100k_true,0.01965213952694933,0.009924098671726757,0.0018954275312242693,0.0028273244781783684,10.0
optimaltrueprecisionrestricted,cm100k_true,0.027712495484414047,0.013453510436432638,0.002154575622644946,0.0032447817836812145,10.0
optimaltrueantiprecisionrestricted,cm100k_true,0.027712495484414047,0.013453510436432638,0.002154575622644946,0.0032447817836812145,10.0
pnmf,cm100k_true,0.019029852358121196,0.009184060721062618,0.00616451525536587,0.008842504743833019,10.0
eals,cm100k_true,0.01099575018516424,0.006053130929791271,0.008236809701804862,0.011650853889943075,10.0
gbpr,cm100k_true,0.019089505674078085,0.009259962049335864,0.0072664365622300536,0.009658444022770399,10.0
plsa,cm100k_true,0.018436915605202712,0.009354838709677418,0.005934166141512671,0.008671726755218215,10.0
bpoissmf,cm100k_true,0.009814626565570925,0.005806451612903227,0.008863256998989516,0.012675521821631877,10.0
wrmf,cm100k_true,0.0190007556791473,0.009392789373814044,0.005546701677543078,0.008197343453510437,10.0
wbpr,cm100k_true,0.018034814721132802,0.008425047438330172,0.006412018656813741,0.009373814041745731,10.0
