algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_true,0.03332023144223167,0.014136622390891841,0.004791280210447888,0.0068311195445920295,10
itemknn,cm100k_true,0.023039000181398886,0.01110056925996205,0.005576985055632762,0.007495256166982923,10
listrankmf,cm100k_true,0.025222376618869998,0.01223908918406072,0.004570000619275628,0.006736242884250474,10
randomguess,cm100k_true,0.008453220561854338,0.0053130929791271354,0.009259284119161952,0.012998102466793168,10
slim,cm100k_true,0.015441012652321775,0.008064516129032258,0.0062974500269906905,0.009013282732447819,10
svdpp,cm100k_true,0.026273308815305693,0.01110056925996205,0.0058707770446618,0.008349146110056927,10
ranksgd,cm100k_true,0.02682499771445906,0.011764705882352943,0.006602564718828473,0.008918406072106264,10
userknn,cm100k_true,0.018966026718007966,0.009962049335863378,0.005682406817481732,0.008349146110056927,10
smootheditemaverage,cm100k_true,0.007869190810925379,0.005028462998102468,0.008317962211407445,0.011480075901328275,10
optimalobservedprecision,cm100k_true,0.03315460800810728,0.014421252371916509,0.004716083954037211,0.006641366223908918,10
optimalobservedantiprecision,cm100k_true,0.009099842670135113,0.005407969639468691,0.006950476010506155,0.009962049335863378,10
optimaltrueprecision,cm100k_true,0.03764195541359493,0.01679316888045541,0.0048746533357170215,0.006736242884250474,10
optimaltrueantiprecision,cm100k_true,0.019496575251960895,0.01015180265654649,0.0016553802084297224,0.0026565464895635673,10
optimaltrueprecisionrestricted,cm100k_true,0.03040712786748822,0.014895635673624287,0.0022518014277403543,0.003320683111954459,10
optimaltrueantiprecisionrestricted,cm100k_true,0.03040712786748822,0.014895635673624287,0.0022518014277403543,0.003320683111954459,10
pnmf,cm100k_true,0.017074711868355127,0.00872865275142315,0.007185125127901501,0.010056925996204936,10
eals,cm100k_true,0.008374673100088883,0.0060721062618595825,0.009236089616980988,0.012713472485768502,10
gbpr,cm100k_true,0.02132679450809264,0.009772296015180267,0.007350778935364436,0.008918406072106262,10
plsa,cm100k_true,0.019203588570837617,0.009582542694497154,0.006164472261897592,0.008538899430740038,10
bpoissmf,cm100k_true,0.008493281217489745,0.0051233396584440235,0.008951200263603475,0.012808349146110056,10
wrmf,cm100k_true,0.021381209450469413,0.009392789373814043,0.006279918450353917,0.00872865275142315,10
wbpr,cm100k_true,0.022150123005261323,0.010246679316888047,0.006363690753695385,0.009297912713472486,10
