algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_true_synthetic,0.0009669146807484618,0.0008349146110056928,0.013754545148268665,0.01798861480075901,10.0
itemknn,cm100k_true_synthetic,0.0035460679634561135,0.0023719165085388997,0.011441498115146704,0.015502846299810247,10.0
listrankmf,cm100k_true_synthetic,0.005176784825744056,0.0034914611005692603,0.010432221108879421,0.014535104364326373,10.0
randomguess,cm100k_true_synthetic,0.007220271785152083,0.00444022770398482,0.009555668853639102,0.013301707779886148,10.0
slim,cm100k_true_synthetic,0.0010521055199590752,0.0008349146110056927,0.013686545811525364,0.01827324478178368,10.0
svdpp,cm100k_true_synthetic,0.01036429233648424,0.006129032258064516,0.008243884219949149,0.011783681214421254,10.0
ranksgd,cm100k_true_synthetic,0.007039255232727186,0.004535104364326375,0.009581281292426707,0.013301707779886148,10.0
userknn,cm100k_true_synthetic,0.0027846117922062674,0.002049335863377609,0.013826065026318285,0.0181404174573055,10.0
smootheditemaverage,cm100k_true_synthetic,0.01347752332214737,0.007343453510436433,0.007683589713130119,0.01110056925996205,10.0
optimalobservedprecision,cm100k_true_synthetic,0.001589862415721025,0.0012713472485768502,0.011543894929852591,0.01582542694497154,10.0
optimalobservedantiprecision,cm100k_true_synthetic,0.010250921899879662,0.005977229601518028,0.007810909700418592,0.011518026565464896,10.0
optimaltrueprecision,cm100k_true_synthetic,0.024076464552472088,0.013586337760910816,0.006757191262776985,0.010056925996204936,10.0
optimaltrueantiprecision,cm100k_true_synthetic,0.013117021240522452,0.007229601518026566,0.002834974207206946,0.004231499051233397,10.0
optimaltrueprecisionrestricted,cm100k_true_synthetic,0.020688623778311533,0.011252371916508542,0.0036396652619189915,0.00538899430740038,10.0
optimaltrueantiprecisionrestricted,cm100k_true_synthetic,0.020688623778311533,0.011252371916508542,0.0036396652619189915,0.00538899430740038,10.0
pnmf,cm100k_true_synthetic,0.0014928358894246718,0.001328273244781784,0.012466044611777735,0.017039848197343457,10.0
eals,cm100k_true_synthetic,0.005798903704636546,0.003927893738140418,0.01007846167073625,0.014060721062618598,10.0
gbpr,cm100k_true_synthetic,0.002586110730434874,0.0020683111954459205,0.011913667587326503,0.015958254269449714,10.0
plsa,cm100k_true_synthetic,0.00365598159478468,0.0025426944971537004,0.01155788375164226,0.016129032258064516,10.0
bpoissmf,cm100k_true_synthetic,0.007843990116600367,0.004876660341555978,0.009668687685722589,0.013814041745730551,10.0
wrmf,cm100k_true_synthetic,0.0034951917814931193,0.0024667931688804557,0.010915104866001071,0.014933586337760912,10.0
wbpr,cm100k_true_synthetic,0.001921743566409848,0.0014611005692599622,0.012741139491755715,0.0167741935483871,10.0
