algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_true_synthetic,0.0006903714565004887,0.0007590132827324478,0.014908674930319514,0.018595825426944972,10
itemknn,cm100k_true_synthetic,0.003382239992771302,0.0022770398481973438,0.011228467790670943,0.014136622390891841,10
listrankmf,cm100k_true_synthetic,0.006103081506307313,0.0032258064516129037,0.011981812797367984,0.015654648956356737,10
randomguess,cm100k_true_synthetic,0.0073908236503113164,0.004838709677419354,0.007496113823196161,0.01062618595825427,10
slim,cm100k_true_synthetic,0.0009460113468652368,0.0007590132827324478,0.013996744958571398,0.01793168880455408,10
svdpp,cm100k_true_synthetic,0.009570642690270997,0.0060721062618595825,0.007820653893997127,0.010721062618595826,10
ranksgd,cm100k_true_synthetic,0.006743342046947361,0.0045540796963946875,0.009529343723236293,0.012808349146110058,10
userknn,cm100k_true_synthetic,0.004030097342541165,0.0023719165085388997,0.012745407207073562,0.017362428842504742,10
smootheditemaverage,cm100k_true_synthetic,0.011829424915846392,0.006736242884250475,0.007893422515505647,0.011385199240986717,10
optimalobservedprecision,cm100k_true_synthetic,0.0008041689493302396,0.0007590132827324478,0.012684831427109456,0.016603415559772298,10
optimalobservedantiprecision,cm100k_true_synthetic,0.01104141737149709,0.00683111954459203,0.0074599322209456765,0.011195445920303606,10
optimaltrueprecision,cm100k_true_synthetic,0.024384452724794108,0.013757115749525617,0.006813903668602534,0.010056925996204936,10
optimaltrueantiprecision,cm100k_true_synthetic,0.012703557331291275,0.006925996204933587,0.002593980634556658,0.0038899430740037947,10
optimaltrueprecisionrestricted,cm100k_true_synthetic,0.018308202971390825,0.010721062618595826,0.003407695214566231,0.0051233396584440235,10
optimaltrueantiprecisionrestricted,cm100k_true_synthetic,0.018308202971390825,0.010721062618595826,0.003407695214566231,0.0051233396584440235,10
pnmf,cm100k_true_synthetic,0.0011304748271691244,0.0010436432637571159,0.012766455027090546,0.016793168880455407,10
eals,cm100k_true_synthetic,0.005607145982466888,0.003984819734345352,0.008545491345556185,0.012144212523719165,10
gbpr,cm100k_true_synthetic,0.0019579711349161067,0.0018026565464895636,0.013437805688312253,0.017931688804554077,10
plsa,cm100k_true_synthetic,0.0033713985671440976,0.0018975332068311196,0.011070846568944652,0.015275142314990513,10
bpoissmf,cm100k_true_synthetic,0.0067362228747428,0.004838709677419354,0.010267313694166969,0.01442125237191651,10
wrmf,cm100k_true_synthetic,0.0024237103708790514,0.0018026565464895636,0.012034615292363915,0.016223908918406072,10
wbpr,cm100k_true_synthetic,0.0009809911256780325,0.0009487666034155598,0.014064475379543924,0.01764705882352941,10
