algorithm,dataset,recall,precision,fallout,antiprecision,recall_c,precision_c,fallout_c,antiprecision_c,cutoff
mostpopular,movielens1M,0.08688228217068376,0.1464490536805138,0.035046853999356566,0.03639777736243881,0.6017089394764167,0.6969965243533489,0.46936725429262205,0.3030034756466512,10.0
itemknn,movielens1M,0.09405743042504645,0.13646742634740108,0.019421792623662663,0.01718975810830646,0.6250194602884055,0.7394588712168468,0.4285519915676409,0.26054112878315316,10.0
listrankmf,movielens1M,0.08240272944024811,0.13443563460353708,0.02274056818670361,0.02351946312485647,0.6149747828249241,0.7195482440558426,0.44871093604471746,0.28045175594415744,10.0
randomguess,movielens1M,0.0027580879680023413,0.005623841286363496,0.0028534358634583644,0.004265118116564482,0.5652000072685408,0.6230941842638016,0.5222784892450238,0.37690581573619836,10.0
slim,movielens1M,0.12071836076862792,0.19160565980584784,0.02828984447968716,0.027201396000546156,0.6027311654613831,0.7072002744287131,0.4663995747026638,0.2927997255712868,10.0
svdpp,movielens1M,0.048476338417862544,0.0864456689566835,0.00564285014514237,0.006167337585772882,0.6340655236398,0.7556808803943802,0.41515066532741784,0.2443191196056198,10.0
ranksgd,movielens1M,0.12442413835857469,0.1847225121027931,0.02284468151722172,0.02251535348980982,0.626954768479243,0.7441449280220801,0.42385302408741665,0.25585507197791996,10.0
userknn,movielens1M,0.08579709373617242,0.1489347241202161,0.03307827538264885,0.03382929194776944,0.6077062365970685,0.7125293749507479,0.45816753437114166,0.28747062504925214,10.0
smootheditemaverage,movielens1M,0.018548275645810536,0.030024801507926534,0.0033241814973793216,0.003144955870335385,0.625378104416855,0.7380834769769297,0.42869983678191304,0.26191652302307045,10.0
optimalobservedprecision,movielens1M,0.09004059287032892,0.14960403831660507,0.029617338565344507,0.031562590519036864,0.6108813525638943,0.7116542631806584,0.45463311118078853,0.2883457368193415,10.0
optimalobservedantiprecision,movielens1M,3.6494580420041904e-05,8.616294664102176e-05,6.52637536383519e-05,6.95885453127421e-05,0.5594687607071277,0.613937412773691,0.5254576954895243,0.38606258722630915,10.0
optimaltrueprecision,movielens1M,0.09014399822181343,0.14982611815862354,0.029440143721963186,0.03156263884979217,0.6116275495570169,0.7125523730439374,0.45349977513148343,0.2874476269560627,10.0
optimaltrueantiprecision,movielens1M,0.00018941993032243196,0.0003479679956616401,0.0,0.0,0.56228621543358,0.6210826148255127,0.5211366485917852,0.37891738517448725,10.0
optimaltrueprecisionrestricted,movielens1M,0.000343105124067909,0.000715822186140081,0.0,0.0,0.6287870610555383,0.7444000786265433,0.42239504235398717,0.2555999213734567,10.0
optimaltrueantiprecisionrestricted,movielens1M,0.00018941993032243196,0.0003479679956616401,0.0,0.0,0.6287798185875376,0.7443967657227832,0.42240576733187885,0.2556032342772169,10.0
pnmf,movielens1M,0.08618190374069061,0.14566711289574705,0.03584878236086196,0.03729920562332964,0.6013900807427449,0.6963535926256662,0.46971395455817044,0.3036464073743338,10.0
eals,movielens1M,0.15721628347457156,0.19594029725800347,0.08635746640723156,0.08079526401805956,0.5877464437890224,0.6708126060593006,0.4787447920451121,0.3291873939406994,10.0
gbpr,movielens1M,0.15198435554594064,0.21897264381859732,0.0651219580460235,0.07242070676692078,0.5977407322114391,0.6898613840587832,0.46300851810733973,0.31013861594121694,10.0
plsa,movielens1M,0.13638980751303542,0.218674640661043,0.03656246794703162,0.03527416265288955,0.6194586841538092,0.7323603397701701,0.4376925114232025,0.26763966022982993,10.0
bpoissmf,movielens1M,0.005053973175570664,0.008912028520448947,0.0034776259745395444,0.005865841311413898,0.5636255021409617,0.6187430909460538,0.5250110201866433,0.3812569090539462,10.0
wrmf,movielens1M,0.1908543912420782,0.2603877122938399,0.06788140742626206,0.06284004286771573,0.6134106339803587,0.7190280611280019,0.4437753517481527,0.28097193887199806,10.0
wbpr,movielens1M,0.04669392142004165,0.08555046225670822,0.022578557283239372,0.026064582436151295,0.6015864494528459,0.6946136725139903,0.4695173623866217,0.3053863274860097,10.0
