algorithm,dataset,recall,precision,fallout,antiprecision,recall_c,precision_c,fallout_c,antiprecision_c,cutoff
mostpopular,movielens1M,0.08764724794858034,0.14692626346313173,0.03624154224907121,0.036619718309859155,0.5985630616137639,0.6966051866756093,0.46559431437530013,0.3033948133243908,10
itemknn,movielens1M,0.09214847703746869,0.13408450704225353,0.020253473190119723,0.0171996685998343,0.6220969407101208,0.73922324798464,0.42527731115022116,0.2607767520153601,10
listrankmf,movielens1M,0.08201466587620446,0.13254349627174816,0.02295586443113723,0.0235956917978459,0.6122989220834962,0.71975348824976,0.44532001092725754,0.28024651175024,10
randomguess,movielens1M,0.002909254027013215,0.0057497928748964375,0.0033873382427511757,0.004573322286661144,0.5625181711354841,0.6235480201470259,0.5167724199743665,0.376451979852974,10
slim,movielens1M,0.12099523131331168,0.192145816072908,0.028155433627295362,0.02747307373653687,0.6002493575604919,0.7078893623176971,0.4627314780794276,0.292110637682303,10
svdpp,movielens1M,0.04995774272796935,0.08797017398508698,0.005988063611013316,0.0065617232808616414,0.6305150240276705,0.7551304559382439,0.41407057708874395,0.24486954406175618,10
ranksgd,movielens1M,0.12435370088589054,0.18304888152444077,0.022533927697225366,0.022866611433305716,0.623460111314516,0.7426532396996356,0.4203167066085698,0.2573467603003643,10
userknn,movielens1M,0.08687802064333834,0.15131731565865783,0.033881222665116985,0.03383595691797846,0.6044779722217684,0.712164424455228,0.45476870523162805,0.2878355755447719,10
smootheditemaverage,movielens1M,0.01660278962096402,0.025451532725766366,0.0030531639498753605,0.002750621375310688,0.622699641382444,0.7383118975289648,0.42465921508482063,0.2616881024710354,10
optimalobservedprecision,movielens1M,0.09107336047421748,0.14990886495443248,0.029360097653965477,0.031996685998342995,0.6078672760921535,0.7114187740824028,0.45088001362515867,0.2885812259175971,10
optimalobservedantiprecision,movielens1M,1.1344082595118221e-05,4.9710024855012434e-05,5.19599152573469e-05,8.285004142502072e-05,0.5576152739727553,0.6142191054825686,0.5204283114491892,0.38578089451743136,10
optimaltrueprecision,movielens1M,0.09013601947749761,0.1498922949461475,0.02979152528653029,0.03189726594863297,0.608758424015047,0.7126780947120632,0.4503395699485476,0.2873219052879368,10
optimaltrueantiprecision,movielens1M,0.00017585627829629045,0.00033140016570008286,0.0,0.0,0.5604673191284619,0.6213276390368354,0.515819298607861,0.3786723609631646,10
optimaltrueprecisionrestricted,movielens1M,0.0002926916931741204,0.0006130903065451532,0.0,0.0,0.6255867834578333,0.7440948304204311,0.4190206691940364,0.25590516957956894,10
optimaltrueantiprecisionrestricted,movielens1M,0.00017585627829629045,0.00033140016570008286,0.0,0.0,0.6255934114611472,0.7441114004287162,0.4190173551923794,0.25588859957128396,10
pnmf,movielens1M,0.08680906273311792,0.14573322286661144,0.03680255864686535,0.03766362883181442,0.5983132571704424,0.6961577964519141,0.4655635528009393,0.3038422035480859,10
eals,movielens1M,0.15742992427096172,0.19640430820215413,0.08286809885137057,0.0811764705882353,0.5833882798341113,0.6683201825331071,0.476160517576483,0.33167981746689285,10
gbpr,movielens1M,0.15024912533704124,0.2171996685998343,0.06404697942024311,0.07421706710853355,0.5931053236027406,0.6865306216383268,0.4618561851108561,0.31346937836167327,10
plsa,movielens1M,0.13536509209020905,0.2179287489643745,0.035191579183918874,0.03478044739022369,0.6182062980541992,0.7335894451677385,0.43209231298215284,0.2664105548322615,10
bpoissmf,movielens1M,0.004304392870107125,0.008748964374482188,0.0031180983533300424,0.004192212096106048,0.559862658688607,0.6179307873384094,0.5225903025583885,0.3820692126615905,10
wrmf,movielens1M,0.18990133775592197,0.260016570008285,0.06861023021558178,0.06482187241093622,0.610216305209684,0.7174171170815744,0.43982250330664885,0.2825828829184256,10
wbpr,movielens1M,0.048269475914284744,0.08712510356255178,0.024366630578008742,0.027721623860811933,0.5982014820830012,0.6930426348943333,0.46672774352583063,0.3069573651056667,10
