algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,yahoo_observed,0.14963528937742998,0.03619622130967113,0.1421992180918547,0.04434948539835228,10.0
itemknn,yahoo_observed,0.1748068326555242,0.043172337073452374,0.11838097222854846,0.03849669303558747,10.0
listrankmf,yahoo_observed,0.13868332595592706,0.03329442168751523,0.1210490760325823,0.03863279389649595,10.0
randomguess,yahoo_observed,0.00685449098350361,0.0019250753667130233,0.008107167322370532,0.0029738480835973915,10.0
slim,yahoo_observed,0.07295882773688611,0.020433454534517143,0.047280519053658765,0.0162015072093045,10.0
svdpp,yahoo_observed,0.03404530433188456,0.009223730324551156,0.012265015880720338,0.00412250253211857,10.0
ranksgd,yahoo_observed,0.1008756254733614,0.02573648682406617,0.05210791891434337,0.016875149491176477,10.0
userknn,yahoo_observed,0.1977277838812596,0.04806787998271564,0.14577719102003167,0.045466582301525074,10.0
smootheditemaverage,yahoo_observed,0.003127731010666332,0.0008077591246891178,0.0006471929051147354,0.00030224826009585135,10.0
optimalobservedprecision,yahoo_observed,0.15162399643621516,0.036907756594071285,0.1393231099573463,0.04329653227957623,10.0
optimalobservedantiprecision,yahoo_observed,0.0012353935555904226,0.00025269125562586155,0.00033918275328224343,0.00014932116846008028,10.0
optimaltrueprecision,yahoo_observed,0.1524490465953297,0.037034354958095005,0.13907909564926363,0.04321721667015449,10.0
optimaltrueantiprecision,yahoo_observed,0.001836825196406296,0.0005169150251196277,0.0,0.0,10.0
optimaltrueprecisionrestricted,yahoo_observed,0.002642529825146545,0.0007198125461029322,2.1334861801044453e-05,1.528467711119603e-05,10.0
optimaltrueantiprecisionrestricted,yahoo_observed,0.001836825196406296,0.0005169150251196277,0.0,0.0,10.0
pnmf,yahoo_observed,0.17179498434486473,0.041370272508765585,0.15482783591478885,0.04826500465239201,10.0
eals,yahoo_observed,0.0802254768708245,0.021146856742505847,0.06632358517202566,0.02327461069231795,10.0
gbpr,yahoo_observed,0.21356218689374726,0.051453273842576794,0.16438499675195534,0.051747292684020826,10.0
plsa,yahoo_observed,0.16689590681192049,0.04249739779616611,0.10788019568643348,0.03355598492360014,10.0
bpoissmf,yahoo_observed,0.006849646919553481,0.0020249115374470685,0.007523542280505549,0.0028236357829463056,10.0
wrmf,yahoo_observed,0.23520839665181095,0.05644248856562303,0.1543724763620325,0.05024766599753837,10.0
wbpr,yahoo_observed,0.08540361303389776,0.021081051387512068,0.07238556525002698,0.02433246797282767,10.0
