algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,yahoo_observed,0.1494989550536736,0.03672413793103448,0.14290402872675495,0.04379310344827587,10
itemknn,yahoo_observed,0.16820870104626032,0.0425095785440613,0.12093951075997805,0.03900383141762452,10
listrankmf,yahoo_observed,0.1391377134808967,0.03385057471264368,0.11887726370873157,0.038199233716475094,10
randomguess,yahoo_observed,0.007568589579288861,0.0019157088122605363,0.008229009914668938,0.0030459770114942527,10
slim,yahoo_observed,0.06277653725620229,0.01850574712643678,0.047539007877047026,0.016091954022988506,10
svdpp,yahoo_observed,0.032718423546889,0.009022988505747127,0.0124059520639172,0.004176245210727969,10
ranksgd,yahoo_observed,0.09979041381620636,0.025632183908045978,0.05688507724043118,0.017375478927203064,10
userknn,yahoo_observed,0.19252098648546861,0.046494252873563215,0.14564079779731665,0.04517241379310345,10
smootheditemaverage,yahoo_observed,0.004019792481261176,0.0010727969348659004,0.00042798211566768467,0.00028735632183908046,10
optimalobservedprecision,yahoo_observed,0.1494961663854015,0.03704980842911878,0.13764796108579275,0.04231800766283525,10
optimalobservedantiprecision,yahoo_observed,0.0018793594655663619,0.0003256704980842912,0.00018039591315453384,7.662835249042147e-05,10
optimaltrueprecision,yahoo_observed,0.15203494164558048,0.03741379310344828,0.13959071127180955,0.042643678160919546,10
optimaltrueantiprecision,yahoo_observed,0.0029377153573440485,0.0006321839080459771,0.0,0.0,10
optimaltrueprecisionrestricted,yahoo_observed,0.0035762849614308936,0.0007088122605363985,0.0,0.0,10
optimaltrueantiprecisionrestricted,yahoo_observed,0.0029377153573440485,0.0006321839080459771,0.0,0.0,10
pnmf,yahoo_observed,0.17581659608059155,0.04258620689655172,0.15717341124115822,0.04833333333333333,10
eals,yahoo_observed,0.07933712485693728,0.020977011494252875,0.06498092244866036,0.022720306513409963,10
gbpr,yahoo_observed,0.21308544296915935,0.05113026819923371,0.16405862177890593,0.05220306513409962,10
plsa,yahoo_observed,0.16227610588744362,0.041858237547892724,0.10569816229014489,0.03270114942528735,10
bpoissmf,yahoo_observed,0.01056285999928509,0.002988505747126437,0.007993106030187947,0.0029310344827586207,10
wrmf,yahoo_observed,0.23464800712260048,0.0560536398467433,0.16188448271867165,0.052049808429118785,10
wbpr,yahoo_observed,0.07934825940067881,0.019942528735632185,0.07236727173022245,0.023199233716475098,10
