algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,yahoo_true,0.02794636978248089,0.006807407407407408,0.007502557319223986,0.006155555555555555,10.0
itemknn,yahoo_true,0.03355418871252204,0.007844444444444446,0.0058036890064667845,0.004940740740740741,10.0
listrankmf,yahoo_true,0.029209376837154615,0.007037037037037038,0.007808362727807172,0.006303703703703705,10.0
randomguess,yahoo_true,0.007610949441504998,0.002481481481481482,0.009979174015285128,0.007703703703703704,10.0
slim,yahoo_true,0.021115079365079368,0.005533333333333333,0.007516122868900646,0.006044444444444444,10.0
svdpp,yahoo_true,0.014588506760728984,0.003996296296296296,0.008664256319811877,0.006911111111111113,10.0
ranksgd,yahoo_true,0.027217430922986473,0.006677777777777778,0.006538036449147561,0.0054111111111111105,10.0
userknn,yahoo_true,0.03533092298647854,0.008377777777777777,0.006000352733686067,0.005074074074074075,10.0
smootheditemaverage,yahoo_true,0.010076807760141093,0.0030037037037037037,0.009312727807172252,0.00725925925925926,10.0
optimalobservedprecision,yahoo_true,0.03008603762492651,0.007211111111111111,0.007323574368018814,0.006033333333333334,10.0
optimalobservedantiprecision,yahoo_true,0.005146164021164022,0.0016555555555555553,0.011077542621987069,0.0083,10.0
optimaltrueprecision,yahoo_true,0.03192211934156378,0.0077296296296296306,0.007278938859494416,0.005951851851851852,10.0
optimaltrueantiprecision,yahoo_true,0.016207201646090536,0.004474074074074075,0.0045092739564961785,0.0037962962962962963,10.0
optimaltrueprecisionrestricted,yahoo_true,0.027305937683715458,0.006859259259259259,0.005343400940623163,0.004466666666666667,10.0
optimaltrueantiprecisionrestricted,yahoo_true,0.027305937683715458,0.006859259259259259,0.005343400940623163,0.004466666666666667,10.0
pnmf,yahoo_true,0.03187536743092299,0.007574074074074075,0.007260141093474427,0.005974074074074074,10.0
eals,yahoo_true,0.0234744708994709,0.005918518518518519,0.006570708406819519,0.005388888888888889,10.0
gbpr,yahoo_true,0.038235640799529694,0.008892592592592594,0.005946546149323927,0.005077777777777778,10.0
plsa,yahoo_true,0.03237429453262787,0.007844444444444444,0.006713286302175191,0.005555555555555556,10.0
bpoissmf,yahoo_true,0.007404203409758965,0.00232962962962963,0.010073030570252791,0.007785185185185184,10.0
wrmf,yahoo_true,0.044290211640211644,0.009811111111111112,0.005215241034685479,0.0044555555555555555,10.0
wbpr,yahoo_true,0.01927307466196355,0.0049814814814814826,0.008545017636684303,0.006870370370370371,10.0
