algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,yahoo_true,0.027995884773662546,0.006796296296296297,0.007445840681951793,0.006111111111111111,10
itemknn,yahoo_true,0.032609567901234565,0.007722222222222222,0.0060053644914756016,0.005055555555555555,10
listrankmf,yahoo_true,0.028067460317460314,0.006907407407407407,0.007786890064667842,0.006351851851851852,10
randomguess,yahoo_true,0.0068804379776602,0.002537037037037037,0.010068562610229276,0.007851851851851851,10
slim,yahoo_true,0.022460684891240444,0.0056851851851851855,0.007123677248677248,0.005833333333333334,10
svdpp,yahoo_true,0.015785052910052912,0.004111111111111111,0.009123162845385068,0.007277777777777777,10
ranksgd,yahoo_true,0.026957231040564376,0.00662962962962963,0.006776014109347444,0.005648148148148148,10
userknn,yahoo_true,0.034160346854791294,0.00812962962962963,0.005614344503233393,0.004722222222222222,10
smootheditemaverage,yahoo_true,0.010670194003527337,0.0031296296296296293,0.009264550264550265,0.0073518518518518525,10
optimalobservedprecision,yahoo_true,0.029739711934156376,0.007185185185185185,0.007282554379776603,0.006000000000000001,10
optimalobservedantiprecision,yahoo_true,0.0054620076425631985,0.0016296296296296297,0.011522780717225163,0.0085,10
optimaltrueprecision,yahoo_true,0.03255313051146384,0.007833333333333335,0.007330540858318637,0.006,10
optimaltrueantiprecision,yahoo_true,0.0162717519106408,0.0045000000000000005,0.004527116402116402,0.0037962962962962967,10
optimaltrueprecisionrestricted,yahoo_true,0.02751550558495003,0.00688888888888889,0.005317680776014109,0.0044444444444444444,10
optimaltrueantiprecisionrestricted,yahoo_true,0.02751550558495003,0.00688888888888889,0.005317680776014109,0.0044444444444444444,10
pnmf,yahoo_true,0.03045032333921223,0.007277777777777777,0.0075,0.00612962962962963,10
eals,yahoo_true,0.021389329805996473,0.005518518518518519,0.006448486184597296,0.00512962962962963,10
gbpr,yahoo_true,0.037721340388007056,0.008962962962962964,0.006020135214579659,0.005148148148148148,10
plsa,yahoo_true,0.03219370958259847,0.007648148148148148,0.006549750146972369,0.005407407407407408,10
bpoissmf,yahoo_true,0.005369855967078189,0.002037037037037037,0.011093180482069372,0.008333333333333333,10
wrmf,yahoo_true,0.04177050264550264,0.009462962962962963,0.005219797178130512,0.004370370370370371,10
wbpr,yahoo_true,0.02010302763080541,0.004851851851851852,0.009069370958259847,0.007277777777777779,10
